Wavelength (nm), Intensity (J/m2/s/nm)
150,0.001
155,0.001
160,0.001
165,0.001
170,0.001
175,0.001
180,0.002
185,0.003
190,0.007
195,0.014
200,0.025
205,0.041
210,0.087
215,0.114
220,0.187
225,0.365
230,0.454
235,0.582
240,1.481
245,3.007
250,2.502
255,7.549
260,7.633
265,16.331
270,17.746
275,25.830
280,36.027
285,23.964
290,76.109
295,93.614
300,108.482
305,155.516
310,222.724
315,412.449
320,480.251
325,836.599
330,1298.259
335,1031.409
340,843.754
345,971.392
350,1632.351
355,2356.368
360,1249.717
365,2687.810
370,2362.679
375,1226.488
380,2685.261
385,1663.651
390,2434.921
395,1941.742
400,5629.480
405,5105.140
410,5950.180
415,5061.419
420,4900.828
425,4727.612
430,4746.946
435,7998.783
440,7240.838
445,8442.820
450,11143.055
455,10815.181
460,11548.336
465,11385.029
470,11392.318
475,10528.760
480,10795.852
485,12121.209
490,12039.304
495,10938.925
500,8282.857
505,7935.241
510,7464.347
515,6772.360
520,7463.988
525,13065.832
530,14618.877
535,13994.534
540,13582.639
545,13666.235
550,13897.021
555,15169.996
560,13908.701
565,15628.292
570,15262.538
575,16429.502
580,16050.921
585,16189.721
590,11658.431
595,16043.198
600,16196.381
605,16926.241
610,16398.657
615,15890.862
620,15930.364
625,14926.844
630,15893.855
635,16190.412
640,16395.376
645,15566.256
650,15855.496
655,16448.979
660,16557.903
665,16384.412
670,15836.840
675,15664.537
680,15718.565
685,15964.385
690,16229.278
695,16289.296
700,16241.252
705,16289.871
710,15336.959
715,14514.531
720,14940.980
725,15644.914
730,15902.350
735,15826.462
740,15898.656
745,15961.823
750,16074.634
755,16230.526
760,15946.612
765,15733.774
770,15432.628
775,15450.234
780,15627.249
785,15447.813
790,15483.839
795,15196.942
800,15373.029
805,15284.623
810,15192.969
815,15341.517
820,14461.177
825,14996.653
830,14876.854
835,14620.110
840,14202.074
845,14377.260
850,13994.920
855,13088.507
860,14402.914
865,13879.713
870,13894.468
875,14239.785
880,13971.886
885,14012.617
890,14036.946
895,13753.234
900,13574.507
905,13907.499
910,13510.610
915,13610.484
920,13485.785
925,13303.794
930,13333.106
935,13287.781
940,13104.818
945,12998.252
950,13126.205
955,12844.756
960,12932.322
965,12480.096
970,12617.918
975,12469.976
980,12408.947
985,12601.306
990,12528.537
995,12469.697
1000,12412.179
1005,12280.991
1010,12230.988
1015,12165.407
1020,12071.595
1025,12046.150
1030,11935.072
1035,11802.687
1040,11806.730
1045,11751.010
1050,11686.748
1055,11612.977
1060,11517.335
1065,11414.355
1070,11311.734
1075,11256.520
1080,11073.991
1085,10986.833
1090,11035.278
1095,10899.982
1100,10751.555
1105,10749.110
1110,10718.108
1115,10646.233
1120,10614.770
1125,10495.645
1130,10415.754
1135,10353.084
1140,10194.039
1145,10239.859
1150,10339.262
1155,10273.098
1160,10098.285
1165,10018.811
1170,10095.783
1175,10026.256
1180,9838.298
1185,9745.198
1190,9830.936
1195,9691.308
1200,9583.437
1205,9654.179
1210,9627.467
1215,9684.569
1220,9657.831
1225,9588.567
1230,9525.461
1235,9489.474
1240,9421.340
1245,9377.522
1250,9338.627
1255,9286.421
1260,9261.980
1265,9176.239
1270,9138.218
1275,9147.978
1280,8993.459
1285,8914.567
1290,8904.204
1295,8892.115
1300,8906.025
1305,8876.411
1310,8725.560
1315,8602.216
1320,8692.098
1325,8681.388
1330,8605.687
1335,8605.506
1340,8613.236
1345,8598.980
1350,8566.378
1355,8495.733
1360,8407.755
1365,8404.861
1370,8443.430
1375,8419.521
1380,8388.640
1385,8333.365
1390,8189.160
1395,8142.482
1400,8145.141
1405,8136.304
1410,8103.798
1415,8065.335
1420,8034.625
1425,7835.212
1430,7841.601
1435,7984.425
1440,7909.858
1445,7900.889
1450,7903.109
1455,7823.724
1460,7753.444
1465,7709.915
1470,7686.607
1475,7661.924
1480,7684.144
1485,7563.035
1490,7592.436
1495,7754.505
1500,7424.354
1505,7241.837
1510,7522.020
1515,7638.284
1520,7632.586
1525,7604.921
1530,7611.456
1535,7599.234
1540,7543.290
1545,7599.165
1550,7582.054
1555,7490.729
1560,7546.911
1565,7525.065
1570,7416.300
1575,7162.440
1580,7152.282
1585,7260.897
1590,7244.432
1595,7343.107
1600,7339.315
1605,7307.602
1610,7247.949
1615,7188.151
1620,7156.616
1625,7131.766
1630,7119.017
1635,7100.153
1640,7047.275
1645,6995.938
1650,6981.161
1655,6963.114
1660,6889.054
1665,6798.652
1670,6674.763
1675,6562.485
1680,6536.194
1685,6525.048
1690,6508.389
1695,6477.059
1700,6384.515
1705,6278.811
1710,6172.893
1715,6079.325
1720,6041.185
1725,6008.619
1730,5945.994
1735,5882.029
1740,5840.723
1745,5802.239
1750,5753.726
1755,5703.719
1760,5657.056
1765,5608.242
1770,5547.849
1775,5488.483
1780,5444.100
1785,5404.589
1790,5368.060
1795,5323.971
1800,5242.388
1805,5160.925
1810,5127.431
1815,5095.730
1820,5028.370
1825,4959.189
1830,4918.857
1835,4874.430
1840,4784.295
1845,4702.613
1850,4686.446
1855,4680.546
1860,4637.755
1865,4584.370
1870,4526.968
1875,4474.496
1880,4451.274
1885,4420.638
1890,4339.327
1895,4265.972
1900,4263.937
1905,4276.462
1910,4243.862
1915,4204.066
1920,4175.199
1925,4136.805
1930,4062.857
1935,3982.824
1940,3926.678
1945,3883.728
1950,3882.578
1955,3883.785
1960,3866.991
1965,3830.029
1970,3741.920
1975,3651.273
1980,3633.976
1985,3627.694
1990,3613.608
1995,3600.977
2000,3608.539
2005,3612.903
2010,3592.384
2015,3558.903
2020,3510.036
2025,3459.900
2030,3430.847
2035,3409.226
2040,3395.875
2045,3382.642
2050,3345.193
2055,3303.896
2060,3262.185
2065,3223.467
2070,3211.164
2075,3197.314
2080,3169.482
2085,3135.480
2090,3093.459
2095,3058.528
2100,3044.532
2105,3036.484
2110,3007.660
2115,2979.487
2120,2959.394
2125,2942.048
2130,2923.397
2135,2903.803
2140,2882.292
2145,2859.950
2150,2837.053
2155,2813.495
2160,2788.074
2165,2761.083
2170,2730.963
2175,2701.143
2180,2683.545
2185,2667.473
2190,2651.097
2195,2626.930
2200,2576.679
2205,2529.090
2210,2543.569
2215,2552.162
2220,2523.796
2225,2486.410
2230,2469.585
2235,2458.565
2240,2443.740
2245,2428.917
2250,2415.239
2255,2397.244
2260,2363.804
2265,2330.453
2270,2329.083
2275,2323.803
2280,2296.825
2285,2247.927
2290,2163.608
2295,2087.159
2300,2101.301
2305,2130.086
2310,2126.599
2315,2096.137
2320,2017.017
2325,1945.322
2330,1940.505
2335,1964.051
2340,1983.758
2345,1982.643
2350,1897.769
2355,1830.400
2360,1847.514
2365,1881.069
2370,1885.906
2375,1860.939
2380,1795.116
2385,1734.791
2390,1750.474
2395,1781.630
2400,1790.441
2405,1780.310
2410,1723.587
2415,1675.601
2420,1675.042
2425,1690.753
2430,1697.257
2435,1689.136
2440,1657.363
2445,1619.713
2450,1597.702
2455,1589.721
2460,1604.226
2465,1614.534
2470,1594.081
2475,1564.795
2480,1530.213
2485,1507.131
2490,1518.894
2495,1534.652
2500,1535.334
2505,1523.379
2510,1495.166
2515,1464.718
2520,1446.697
2525,1439.007
2530,1440.156
2535,1442.166
2540,1434.219
2545,1422.622
2550,1415.569
2555,1410.307
2560,1403.698
2565,1398.268
2570,1396.691
2575,1391.581
2580,1373.468
2585,1354.153
2590,1349.497
2595,1350.935
2600,1347.495
2605,1342.667
2610,1339.839
2615,1334.060
2620,1319.313
2625,1302.977
2630,1295.462
2635,1291.844
2640,1284.992
2645,1273.148
2650,1253.783
2655,1234.328
2660,1226.879
2665,1227.674
2670,1230.932
2675,1233.797
2680,1230.639
2685,1222.684
2690,1211.198
2695,1199.825
2700,1193.195
2705,1187.514
2710,1180.098
2715,1172.710
2720,1166.495
2725,1160.108
2730,1152.640
2735,1145.477
2740,1139.628
2745,1133.635
2750,1126.273
2755,1118.299
2760,1110.634
2765,1103.538
2770,1097.480
2775,1091.403
2780,1083.386
2785,1073.415
2790,1061.421
2795,1048.152
2800,1033.702
2805,1024.044
2810,1021.625
2815,1021.474
2820,1019.982
2825,1016.848
2830,1012.468
2835,1007.541
2840,1003.001
2845,997.455
2850,988.075
2855,979.670
2860,975.350
2865,971.665
2870,966.748
2875,960.695
2880,954.100
2885,947.804
2890,942.730
2895,937.356
2900,928.134
2905,920.930
2910,919.871
2915,913.640
2920,897.419
2925,882.964
2930,880.617
2935,882.440
2940,872.886
2945,862.493
2950,863.507
2955,862.178
2960,853.191
2965,844.743
2970,843.259
2975,844.536
2980,839.068
2985,831.976
2990,829.283
2995,824.060